Date,Btc_Price_Wkly,Visits_Per_Week
2022-11-05,21150.315583912397,23590.0
2022-11-12,17080.215260565037,23803.0
2022-11-19,16707.022778986535,24132.0
2022-11-26,16524.449007720887,26461.0
2022-12-03,17084.87334047068,33883.0
2022-12-10,17149.824203925327,34932.0
2022-12-17,16623.75782614431,36668.0
2022-12-24,16791.45543916491,39045.0
2022-12-31,16604.020520373393,44545.0
2023-01-07,16960.23206247515,44497.0
2023-01-14,19941.780543296303,37564.0
2023-01-21,22705.83367889906,31687.0
2023-01-28,23082.858382122955,28309.0
2023-02-04,23451.577650774634,26523.0
2023-02-11,21630.132979576298,26438.0
2023-02-18,24628.82455217312,25500.0
2023-02-25,23172.286538018925,24086.0
2023-03-04,22367.43302246967,22407.0
2023-03-11,20195.2289502733,20239.0
2023-03-18,27466.677829829863,18190.0
2023-03-25,27595.4947483755,17231.0
2023-04-01,28516.784729688636,15817.0
2023-04-08,27934.43871284895,14449.0
2023-04-15,30468.40870059078,13278.0
2023-04-22,27300.157128515566,11835.0
2023-04-29,29339.99499754935,10212.0
2023-05-06,29520.322268970496,9728.0
2023-05-13,26787.69039591833,9338.0
2023-05-20,26884.371059589947,8454.0
2023-05-27,26717.987553571777,7847.0
2023-06-03,27247.74008145703,7446.0
2023-06-10,26469.581684007026,6972.0
2023-06-17,26327.3256694539,6673.0
2023-06-24,30629.24435333575,6317.0
2023-07-01,30480.781481944465,6489.0
2023-07-08,30315.26540235163,6469.0
2023-07-15,30311.827808130518,7203.0
2023-07-22,29914.68272835899,8082.0
2023-07-29,29314.09738709836,9092.0
2023-08-05,29087.938086007627,10534.0
2023-08-12,29396.8479714205,12782.0
2023-08-19,26042.838256848998,15145.0
2023-08-26,26044.036209289134,17510.0
2023-09-02,25812.33049442542,19195.0
2023-09-09,25907.228137249735,20717.0
2023-09-16,26634.631025000588,19855.0
2023-09-23,26572.0381115526,19425.0
2023-09-30,26917.199101637976,18279.0
2023-10-07,27958.196437350485,17035.0
2023-10-14,26841.136220644406,15958.0
2023-10-21,29677.392888476206,15722.0
2023-10-28,33899.09305644032,15745.0
